prediction_date,PTLoad
2016-02-13 00:00:00,5566.65
2016-02-13 01:00:00,5166.2
2016-02-13 02:00:00,4911.0
2016-02-13 03:00:00,4770.625
2016-02-13 04:00:00,4688.875
2016-02-13 05:00:00,4672.7
2016-02-13 06:00:00,4708.55
2016-02-13 07:00:00,4707.325
2016-02-13 08:00:00,5098.5
2016-02-13 09:00:00,5645.525
2016-02-13 10:00:00,5965.0
2016-02-13 11:00:00,6232.1
2016-02-13 12:00:00,6361.5
2016-02-13 13:00:00,6309.8
2016-02-13 14:00:00,6217.25
2016-02-13 15:00:00,6145.35
2016-02-13 16:00:00,6040.5
2016-02-13 17:00:00,6129.15
2016-02-13 18:00:00,6553.2
2016-02-13 19:00:00,6833.275
2016-02-13 20:00:00,6707.65
2016-02-13 21:00:00,6331.275
2016-02-13 22:00:00,6044.6
2016-02-13 23:00:00,5585.3
2016-02-14 00:00:00,5111.25
2016-02-14 01:00:00,4718.1
2016-02-14 02:00:00,4461.425
2016-02-14 03:00:00,4322.7
2016-02-14 04:00:00,4239.025
2016-02-14 05:00:00,4238.625
2016-02-14 06:00:00,4277.9
2016-02-14 07:00:00,4116.4
2016-02-14 08:00:00,4395.2
2016-02-14 09:00:00,4849.45
2016-02-14 10:00:00,5272.85
2016-02-14 11:00:00,5709.125
2016-02-14 12:00:00,5789.325
2016-02-14 13:00:00,5663.325
2016-02-14 14:00:00,5537.625
2016-02-14 15:00:00,5463.6
2016-02-14 16:00:00,5442.8
2016-02-14 17:00:00,5560.7
2016-02-14 18:00:00,6191.5
2016-02-14 19:00:00,6737.675
2016-02-14 20:00:00,6714.175
2016-02-14 21:00:00,6464.475
2016-02-14 22:00:00,6114.85
2016-02-14 23:00:00,5624.55
2016-02-15 00:00:00,5137.75
2016-02-15 01:00:00,4678.975
2016-02-15 02:00:00,4504.425
2016-02-15 03:00:00,4373.35
2016-02-15 04:00:00,4389.55
2016-02-15 05:00:00,4520.325
2016-02-15 06:00:00,4944.7
2016-02-15 07:00:00,5493.0
2016-02-15 08:00:00,6452.775
2016-02-15 09:00:00,7001.825
2016-02-15 10:00:00,7212.275
2016-02-15 11:00:00,7302.025
2016-02-15 12:00:00,7163.15
2016-02-15 13:00:00,7002.325
2016-02-15 14:00:00,7069.05
2016-02-15 15:00:00,6982.325
2016-02-15 16:00:00,6902.65
2016-02-15 17:00:00,6778.9
2016-02-15 18:00:00,7307.125
2016-02-15 19:00:00,7757.375
2016-02-15 20:00:00,7620.025
2016-02-15 21:00:00,7412.375
2016-02-15 22:00:00,6977.725
2016-02-15 23:00:00,6225.3
2016-02-16 00:00:00,5643.975
2016-02-16 01:00:00,5207.7
2016-02-16 02:00:00,4930.1
2016-02-16 03:00:00,4854.475
2016-02-16 04:00:00,4816.2
2016-02-16 05:00:00,4916.35
2016-02-16 06:00:00,5245.35
2016-02-16 07:00:00,5771.05
2016-02-16 08:00:00,6709.525
2016-02-16 09:00:00,7292.725
2016-02-16 10:00:00,7306.725
2016-02-16 11:00:00,7396.5
2016-02-16 12:00:00,7166.4
2016-02-16 13:00:00,6999.5
2016-02-16 14:00:00,6989.9
2016-02-16 15:00:00,6904.325
2016-02-16 16:00:00,6872.6
2016-02-16 17:00:00,6668.45
2016-02-16 18:00:00,7215.85
2016-02-16 19:00:00,7794.675
2016-02-16 20:00:00,7726.425
2016-02-16 21:00:00,7446.175
2016-02-16 22:00:00,7091.925
2016-02-16 23:00:00,6331.15
2016-02-17 00:00:00,5637.55
2016-02-17 01:00:00,5217.225
2016-02-17 02:00:00,4997.375
2016-02-17 03:00:00,4886.825
2016-02-17 04:00:00,4871.45
2016-02-17 05:00:00,4955.75
2016-02-17 06:00:00,5262.725
2016-02-17 07:00:00,5871.1
2016-02-17 08:00:00,6867.25
2016-02-17 09:00:00,7340.7
2016-02-17 10:00:00,7460.9
2016-02-17 11:00:00,7588.35
2016-02-17 12:00:00,7435.625
2016-02-17 13:00:00,7334.825
2016-02-17 14:00:00,7513.525
2016-02-17 15:00:00,7508.925
2016-02-17 16:00:00,7516.025
2016-02-17 17:00:00,7441.375
2016-02-17 18:00:00,7764.95
2016-02-17 19:00:00,8084.125
2016-02-17 20:00:00,7934.625
2016-02-17 21:00:00,7684.175
2016-02-17 22:00:00,7116.85
2016-02-17 23:00:00,6368.3
2016-02-18 00:00:00,5744.725
2016-02-18 01:00:00,5327.075
2016-02-18 02:00:00,5098.65
2016-02-18 03:00:00,4979.775
2016-02-18 04:00:00,4932.225
2016-02-18 05:00:00,5047.525
2016-02-18 06:00:00,5348.075
2016-02-18 07:00:00,5902.175
2016-02-18 08:00:00,6835.475
2016-02-18 09:00:00,7232.65
2016-02-18 10:00:00,7306.9
2016-02-18 11:00:00,7405.525
2016-02-18 12:00:00,7160.8
2016-02-18 13:00:00,6982.5
2016-02-18 14:00:00,7114.15
2016-02-18 15:00:00,7037.325
2016-02-18 16:00:00,6994.25
2016-02-18 17:00:00,6852.9
2016-02-18 18:00:00,7395.95
2016-02-18 19:00:00,8012.875
2016-02-18 20:00:00,7999.875
2016-02-18 21:00:00,7713.1
2016-02-18 22:00:00,7239.775
2016-02-18 23:00:00,6457.375
2016-02-19 00:00:00,5804.925
2016-02-19 01:00:00,5343.65
2016-02-19 02:00:00,5047.925
2016-02-19 03:00:00,4905.775
2016-02-19 04:00:00,4872.025
2016-02-19 05:00:00,5038.575
2016-02-19 06:00:00,5306.025
2016-02-19 07:00:00,5968.45
2016-02-19 08:00:00,6794.725
2016-02-19 09:00:00,7262.6
2016-02-19 10:00:00,7385.625
2016-02-19 11:00:00,7448.35
2016-02-19 12:00:00,7171.025
2016-02-19 13:00:00,7012.675
2016-02-19 14:00:00,7039.325
2016-02-19 15:00:00,6870.225
2016-02-19 16:00:00,6772.85
2016-02-19 17:00:00,6643.25
2016-02-19 18:00:00,7190.275
2016-02-19 19:00:00,7771.275
2016-02-19 20:00:00,7717.325
2016-02-19 21:00:00,7431.75
2016-02-19 22:00:00,6947.2
2016-02-19 23:00:00,6342.1
2016-02-20 00:00:00,5733.775
2016-02-20 01:00:00,5277.9
2016-02-20 02:00:00,5014.075
2016-02-20 03:00:00,4848.175
2016-02-20 04:00:00,4747.8
2016-02-20 05:00:00,4689.85
2016-02-20 06:00:00,4785.65
2016-02-20 07:00:00,4761.575
2016-02-20 08:00:00,5261.5
2016-02-20 09:00:00,5791.725
2016-02-20 10:00:00,5999.525
2016-02-20 11:00:00,6046.3
2016-02-20 12:00:00,6037.175
2016-02-20 13:00:00,5810.925
2016-02-20 14:00:00,5648.95
2016-02-20 15:00:00,5502.375
2016-02-20 16:00:00,5340.925
2016-02-20 17:00:00,5406.425
2016-02-20 18:00:00,6239.7
2016-02-20 19:00:00,6946.4
2016-02-20 20:00:00,6954.325
2016-02-20 21:00:00,6569.425
2016-02-20 22:00:00,6251.85
2016-02-20 23:00:00,5686.925
2016-02-21 00:00:00,5189.825
2016-02-21 01:00:00,4828.45
2016-02-21 02:00:00,4584.925
2016-02-21 03:00:00,4432.275
2016-02-21 04:00:00,4352.85
2016-02-21 05:00:00,4345.0
2016-02-21 06:00:00,4364.875
2016-02-21 07:00:00,4283.55
2016-02-21 08:00:00,4547.775
2016-02-21 09:00:00,5010.45
2016-02-21 10:00:00,5382.45
2016-02-21 11:00:00,5625.15
2016-02-21 12:00:00,5709.175
2016-02-21 13:00:00,5500.175
2016-02-21 14:00:00,5275.5
2016-02-21 15:00:00,5145.025
2016-02-21 16:00:00,5084.05
2016-02-21 17:00:00,5218.375
2016-02-21 18:00:00,5984.025
2016-02-21 19:00:00,6624.65
2016-02-21 20:00:00,6711.075
2016-02-21 21:00:00,6413.2
2016-02-21 22:00:00,6078.625
2016-02-21 23:00:00,5556.95
2016-02-22 00:00:00,5097.45
2016-02-22 01:00:00,4743.1
2016-02-22 02:00:00,4557.675
2016-02-22 03:00:00,4479.95
2016-02-22 04:00:00,4495.1
2016-02-22 05:00:00,4585.475
2016-02-22 06:00:00,4942.575
2016-02-22 07:00:00,5455.225
2016-02-22 08:00:00,6288.025
2016-02-22 09:00:00,6784.35
2016-02-22 10:00:00,7020.45
2016-02-22 11:00:00,7090.7
2016-02-22 12:00:00,6866.725
2016-02-22 13:00:00,6702.175
2016-02-22 14:00:00,6781.65
2016-02-22 15:00:00,6710.575
2016-02-22 16:00:00,6642.0
2016-02-22 17:00:00,6468.4
2016-02-22 18:00:00,6958.3
2016-02-22 19:00:00,7549.6
2016-02-22 20:00:00,7484.7
2016-02-22 21:00:00,7200.4
2016-02-22 22:00:00,6765.325
2016-02-22 23:00:00,6062.325
2016-02-23 00:00:00,5467.225
2016-02-23 01:00:00,5098.425
2016-02-23 02:00:00,4900.575
2016-02-23 03:00:00,4772.95
2016-02-23 04:00:00,4750.75
2016-02-23 05:00:00,4837.25
2016-02-23 06:00:00,5130.375
2016-02-23 07:00:00,5710.35
2016-02-23 08:00:00,6622.675
2016-02-23 09:00:00,7049.725
2016-02-23 10:00:00,7101.775
2016-02-23 11:00:00,7269.7
2016-02-23 12:00:00,7081.05
2016-02-23 13:00:00,6873.85
2016-02-23 14:00:00,6980.9
2016-02-23 15:00:00,6888.975
2016-02-23 16:00:00,6745.525
2016-02-23 17:00:00,6622.95
2016-02-23 18:00:00,7135.625
2016-02-23 19:00:00,7700.2
2016-02-23 20:00:00,7610.8
2016-02-23 21:00:00,7258.275
2016-02-23 22:00:00,6761.95
2016-02-23 23:00:00,6012.5
2016-02-24 00:00:00,5470.275
2016-02-24 01:00:00,5113.175
2016-02-24 02:00:00,4926.2
2016-02-24 03:00:00,4824.825
2016-02-24 04:00:00,4782.25
2016-02-24 05:00:00,4847.075
2016-02-24 06:00:00,5162.725
2016-02-24 07:00:00,5759.35
2016-02-24 08:00:00,6656.625
2016-02-24 09:00:00,7138.625
2016-02-24 10:00:00,7301.575
2016-02-24 11:00:00,7431.075
2016-02-24 12:00:00,7286.325
2016-02-24 13:00:00,7043.8
2016-02-24 14:00:00,7203.475
2016-02-24 15:00:00,7145.45
2016-02-24 16:00:00,7120.125
2016-02-24 17:00:00,6955.45
2016-02-24 18:00:00,7284.975
2016-02-24 19:00:00,7738.95
2016-02-24 20:00:00,7607.375
2016-02-24 21:00:00,7297.4
2016-02-24 22:00:00,6865.55
2016-02-24 23:00:00,6136.4
2016-02-25 00:00:00,5518.725
2016-02-25 01:00:00,5150.775
2016-02-25 02:00:00,4918.675
2016-02-25 03:00:00,4797.125
2016-02-25 04:00:00,4763.225
2016-02-25 05:00:00,4852.0
2016-02-25 06:00:00,5142.075
2016-02-25 07:00:00,5714.425
2016-02-25 08:00:00,6609.35
2016-02-25 09:00:00,7044.1
2016-02-25 10:00:00,7134.925
2016-02-25 11:00:00,7242.875
2016-02-25 12:00:00,6961.3
2016-02-25 13:00:00,6806.975
2016-02-25 14:00:00,6904.35
2016-02-25 15:00:00,6832.325
2016-02-25 16:00:00,6759.775
2016-02-25 17:00:00,6608.825
2016-02-25 18:00:00,7040.15
2016-02-25 19:00:00,7584.55
2016-02-25 20:00:00,7503.6
2016-02-25 21:00:00,7232.825
2016-02-25 22:00:00,6814.725
2016-02-25 23:00:00,6129.775
2016-02-26 00:00:00,5519.45
2016-02-26 01:00:00,5133.325
2016-02-26 02:00:00,4918.375
2016-02-26 03:00:00,4843.875
2016-02-26 04:00:00,4834.4
2016-02-26 05:00:00,4913.35
2016-02-26 06:00:00,5184.775
2016-02-26 07:00:00,5756.925
2016-02-26 08:00:00,6685.075
2016-02-26 09:00:00,7227.2
2016-02-26 10:00:00,7429.45
2016-02-26 11:00:00,7627.65
2016-02-26 12:00:00,7443.275
2016-02-26 13:00:00,7353.975
2016-02-26 14:00:00,7505.375
2016-02-26 15:00:00,7416.875
2016-02-26 16:00:00,7330.95
2016-02-26 17:00:00,7137.125
2016-02-26 18:00:00,7403.05
2016-02-26 19:00:00,7827.475
2016-02-26 20:00:00,7718.375
2016-02-26 21:00:00,7368.125
2016-02-26 22:00:00,6977.975
2016-02-26 23:00:00,6335.1
2016-02-27 00:00:00,5750.1
2016-02-27 01:00:00,5318.525
2016-02-27 02:00:00,4994.3
2016-02-27 03:00:00,4869.55
2016-02-27 04:00:00,4792.25
2016-02-27 05:00:00,4768.45
2016-02-27 06:00:00,4756.825
2016-02-27 07:00:00,4802.0
2016-02-27 08:00:00,5322.325
2016-02-27 09:00:00,5905.0
2016-02-27 10:00:00,6254.65
2016-02-27 11:00:00,6464.825
2016-02-27 12:00:00,6539.75
2016-02-27 13:00:00,6458.275
2016-02-27 14:00:00,6345.475
2016-02-27 15:00:00,6296.55
2016-02-27 16:00:00,6231.25
2016-02-27 17:00:00,6301.075
2016-02-27 18:00:00,6844.8
2016-02-27 19:00:00,7429.275
2016-02-27 20:00:00,7380.875
2016-02-27 21:00:00,6990.05
2016-02-27 22:00:00,6613.55
2016-02-27 23:00:00,6060.425
2016-02-28 00:00:00,5476.075
2016-02-28 01:00:00,5030.5
2016-02-28 02:00:00,4693.85
2016-02-28 03:00:00,4520.475
2016-02-28 04:00:00,4445.45
2016-02-28 05:00:00,4427.35
2016-02-28 06:00:00,4386.475
2016-02-28 07:00:00,4308.85
2016-02-28 08:00:00,4629.725
2016-02-28 09:00:00,5114.375
2016-02-28 10:00:00,5552.4
2016-02-28 11:00:00,5874.2
2016-02-28 12:00:00,6006.35
2016-02-28 13:00:00,5777.0
2016-02-28 14:00:00,5570.4
2016-02-28 15:00:00,5452.4
2016-02-28 16:00:00,5364.35
2016-02-28 17:00:00,5529.3
2016-02-28 18:00:00,6165.95
2016-02-28 19:00:00,6902.825
2016-02-28 20:00:00,7022.2
2016-02-28 21:00:00,6791.775
2016-02-28 22:00:00,6416.95
2016-02-28 23:00:00,5784.125
2016-02-29 00:00:00,5287.3
2016-02-29 01:00:00,4840.25
2016-02-29 02:00:00,4630.975
2016-02-29 03:00:00,4538.425
2016-02-29 04:00:00,4525.95
2016-02-29 05:00:00,4618.875
2016-02-29 06:00:00,4970.675
2016-02-29 07:00:00,5584.7
2016-02-29 08:00:00,6587.25
2016-02-29 09:00:00,7012.2
2016-02-29 10:00:00,7120.1
2016-02-29 11:00:00,7209.125
2016-02-29 12:00:00,7011.7
2016-02-29 13:00:00,6834.125
2016-02-29 14:00:00,6860.95
2016-02-29 15:00:00,6749.55
2016-02-29 16:00:00,6663.125
2016-02-29 17:00:00,6446.175
2016-02-29 18:00:00,6920.0
2016-02-29 19:00:00,7708.625
2016-02-29 20:00:00,7681.725
2016-02-29 21:00:00,7434.025
2016-02-29 22:00:00,7016.5
2016-02-29 23:00:00,6290.45
2016-03-01 00:00:00,5604.55
2016-03-01 01:00:00,5208.925
2016-03-01 02:00:00,4979.275
2016-03-01 03:00:00,4866.225
2016-03-01 04:00:00,4839.55
2016-03-01 05:00:00,4908.725
2016-03-01 06:00:00,5158.375
2016-03-01 07:00:00,5766.2
2016-03-01 08:00:00,6641.575
2016-03-01 09:00:00,7030.8
2016-03-01 10:00:00,7073.575
2016-03-01 11:00:00,7140.9
2016-03-01 12:00:00,6897.8
2016-03-01 13:00:00,6648.45
2016-03-01 14:00:00,6766.7
2016-03-01 15:00:00,6653.925
2016-03-01 16:00:00,6580.025
2016-03-01 17:00:00,6434.8
2016-03-01 18:00:00,6855.6
2016-03-01 19:00:00,7643.275
2016-03-01 20:00:00,7625.05
2016-03-01 21:00:00,7339.875
2016-03-01 22:00:00,6957.975
2016-03-01 23:00:00,6231.525
2016-03-02 00:00:00,5580.775
2016-03-02 01:00:00,5172.175
2016-03-02 02:00:00,4938.175
2016-03-02 03:00:00,4829.15
2016-03-02 04:00:00,4807.775
2016-03-02 05:00:00,4881.9
2016-03-02 06:00:00,5157.0
2016-03-02 07:00:00,5769.175
2016-03-02 08:00:00,6613.8
2016-03-02 09:00:00,6972.925
2016-03-02 10:00:00,7121.35
2016-03-02 11:00:00,7236.375
2016-03-02 12:00:00,7019.925
2016-03-02 13:00:00,6855.575
2016-03-02 14:00:00,6974.775
2016-03-02 15:00:00,6906.275
2016-03-02 16:00:00,6855.75
2016-03-02 17:00:00,6682.95
2016-03-02 18:00:00,7036.35
2016-03-02 19:00:00,7676.9
2016-03-02 20:00:00,7596.075
2016-03-02 21:00:00,7279.75
2016-03-02 22:00:00,6893.5
2016-03-02 23:00:00,6171.9
2016-03-03 00:00:00,5558.775
2016-03-03 01:00:00,5163.375
2016-03-03 02:00:00,4964.45
2016-03-03 03:00:00,4849.7
2016-03-03 04:00:00,4810.1
2016-03-03 05:00:00,4881.325
2016-03-03 06:00:00,5137.65
2016-03-03 07:00:00,5744.375
2016-03-03 08:00:00,6538.25
2016-03-03 09:00:00,6896.675
2016-03-03 10:00:00,6993.65
2016-03-03 11:00:00,7034.375
2016-03-03 12:00:00,6786.475
2016-03-03 13:00:00,6574.825
2016-03-03 14:00:00,6668.575
2016-03-03 15:00:00,6555.775
2016-03-03 16:00:00,6480.65
2016-03-03 17:00:00,6343.5
2016-03-03 18:00:00,6739.75
2016-03-03 19:00:00,7579.5
2016-03-03 20:00:00,7495.9
2016-03-03 21:00:00,7168.8
2016-03-03 22:00:00,6811.65
2016-03-03 23:00:00,6147.725
2016-03-04 00:00:00,5547.55
2016-03-04 01:00:00,5177.1
2016-03-04 02:00:00,4955.875
2016-03-04 03:00:00,4844.35
2016-03-04 04:00:00,4828.475
2016-03-04 05:00:00,4895.4
2016-03-04 06:00:00,5158.45
2016-03-04 07:00:00,5797.475
2016-03-04 08:00:00,6687.8
2016-03-04 09:00:00,7143.35
2016-03-04 10:00:00,7214.175
2016-03-04 11:00:00,7378.8
2016-03-04 12:00:00,7219.075
2016-03-04 13:00:00,7085.475
2016-03-04 14:00:00,7195.4
2016-03-04 15:00:00,7095.975
2016-03-04 16:00:00,7007.1
2016-03-04 17:00:00,6764.85
2016-03-04 18:00:00,6970.175
2016-03-04 19:00:00,7572.175
2016-03-04 20:00:00,7462.575
2016-03-04 21:00:00,7153.325
2016-03-04 22:00:00,6797.725
2016-03-04 23:00:00,6132.15
2016-03-05 00:00:00,5537.375
2016-03-05 01:00:00,5154.9
2016-03-05 02:00:00,4870.125
2016-03-05 03:00:00,4735.05
2016-03-05 04:00:00,4637.4
2016-03-05 05:00:00,4620.975
2016-03-05 06:00:00,4557.125
2016-03-05 07:00:00,4635.35
2016-03-05 08:00:00,5136.15
2016-03-05 09:00:00,5641.675
2016-03-05 10:00:00,5830.375
2016-03-05 11:00:00,5987.525
2016-03-05 12:00:00,6039.65
2016-03-05 13:00:00,5891.95
2016-03-05 14:00:00,5806.85
2016-03-05 15:00:00,5703.6
2016-03-05 16:00:00,5625.9
2016-03-05 17:00:00,5659.725
2016-03-05 18:00:00,6178.425
2016-03-05 19:00:00,6926.8
2016-03-05 20:00:00,6891.0
2016-03-05 21:00:00,6497.225
2016-03-05 22:00:00,6176.75
2016-03-05 23:00:00,5776.475
2016-03-06 00:00:00,5235.725
2016-03-06 01:00:00,4819.0
2016-03-06 02:00:00,4542.275
2016-03-06 03:00:00,4399.425
2016-03-06 04:00:00,4295.825
2016-03-06 05:00:00,4299.75
2016-03-06 06:00:00,4199.1
2016-03-06 07:00:00,4143.925
2016-03-06 08:00:00,4490.875
2016-03-06 09:00:00,4940.5
2016-03-06 10:00:00,5322.975
2016-03-06 11:00:00,5604.05
2016-03-06 12:00:00,5773.45
2016-03-06 13:00:00,5550.2
2016-03-06 14:00:00,5361.65
2016-03-06 15:00:00,5238.125
2016-03-06 16:00:00,5117.25
2016-03-06 17:00:00,5239.3
2016-03-06 18:00:00,5816.525
2016-03-06 19:00:00,6666.725
2016-03-06 20:00:00,6746.25
2016-03-06 21:00:00,6536.25
2016-03-06 22:00:00,6225.45
2016-03-06 23:00:00,5670.175
2016-03-07 00:00:00,5132.125
2016-03-07 01:00:00,4775.7
2016-03-07 02:00:00,4574.625
2016-03-07 03:00:00,4457.125
2016-03-07 04:00:00,4427.225
2016-03-07 05:00:00,4552.125
2016-03-07 06:00:00,4889.05
2016-03-07 07:00:00,5497.75
2016-03-07 08:00:00,6435.375
2016-03-07 09:00:00,6985.7
2016-03-07 10:00:00,7160.775
2016-03-07 11:00:00,7294.575
2016-03-07 12:00:00,7146.35
2016-03-07 13:00:00,7010.775
2016-03-07 14:00:00,7079.5
2016-03-07 15:00:00,6991.825
2016-03-07 16:00:00,6917.125
2016-03-07 17:00:00,6712.675
2016-03-07 18:00:00,6992.85
2016-03-07 19:00:00,7756.05
2016-03-07 20:00:00,7683.3
2016-03-07 21:00:00,7331.2
2016-03-07 22:00:00,6913.7
2016-03-07 23:00:00,6175.175
2016-03-08 00:00:00,5534.0
2016-03-08 01:00:00,5125.95
2016-03-08 02:00:00,4928.9
2016-03-08 03:00:00,4807.0
2016-03-08 04:00:00,4770.375
2016-03-08 05:00:00,4856.6
2016-03-08 06:00:00,5049.675
2016-03-08 07:00:00,5619.8
2016-03-08 08:00:00,6604.55
